Order_ID,Order_Date,Category,Product_Name,Quantity,Unit_Price,Total_Amount,City,Payment_Method,Status
ORD5058,2025-09-30,Automotive,Car Vacuum,8,16134,129072,Kolkata,Net Banking,Pending
ORD5059,2025-12-04,Automotive,Air Freshener,3,48888,146664,Kolkata,Cash on Delivery,Processing
ORD5060,2025-04-28,Electronics,Headphones,4,26558,106232,Delhi,Net Banking,Delivered
ORD5061,2025-12-25,Books,Cookbook,10,25096,250960,Kolkata,Cash on Delivery,Shipped
ORD5062,2025-05-26,Automotive,Seat Covers,4,9432,37728,Kolkata,Debit Card,Delivered
ORD5063,2025-05-12,Toys,Puzzle,1,42143,42143,Jaipur,Debit Card,Cancelled
ORD5064,2025-05-26,Home & Kitchen,Blender,10,46590,465900,Ahmedabad,Cash on Delivery,Delivered
ORD5065,2025-05-18,Books,Fiction Novel,6,48066,288396,Hyderabad,Credit Card,Shipped
ORD5066,2025-01-24,Beauty,Lipstick,3,46225,138675,Bangalore,Cash on Delivery,Pending
ORD5067,2025-02-05,Home & Kitchen,Vacuum Cleaner,7,5788,40516,Bangalore,Cash on Delivery,Processing
ORD5068,2025-10-14,Toys,Doll,7,38161,267127,Bangalore,UPI,Shipped
ORD5069,2025-09-18,Sports,Bicycle,1,11061,11061,Jaipur,Net Banking,Pending
ORD5070,2025-01-07,Automotive,Tool Kit,9,45122,406098,Surat,Debit Card,Pending
ORD5071,2025-09-25,Sports,Football,9,21523,193707,Hyderabad,Credit Card,Cancelled
ORD5072,2025-01-25,Automotive,Seat Covers,1,8123,8123,Chennai,Debit Card,Processing
ORD5073,2025-06-24,Toys,Building Blocks,9,17759,159831,Surat,Cash on Delivery,Shipped
ORD5074,2025-01-19,Automotive,Car Vacuum,10,14244,142440,Kolkata,Credit Card,Pending
ORD5075,2025-12-03,Clothing,Shorts,4,38658,154632,Ahmedabad,Net Banking,Delivered
ORD5076,2025-03-18,Books,Textbook,6,27187,163122,Delhi,Debit Card,Shipped
ORD5077,2025-12-12,Toys,Puzzle,9,7343,66087,Bangalore,Net Banking,Pending
ORD5078,2025-09-01,Books,Magazine,3,30539,91617,Hyderabad,Net Banking,Shipped
ORD5079,2025-04-09,Electronics,Tablet,9,25512,229608,Ahmedabad,Debit Card,Processing
ORD5080,2025-12-12,Automotive,Tool Kit,3,30969,92907,Ahmedabad,Cash on Delivery,Cancelled
ORD5081,2025-03-18,Automotive,Phone Holder,5,48355,241775,Chennai,UPI,Shipped
ORD5082,2025-02-22,Beauty,Shampoo,8,2500,20000,Pune,Net Banking,Delivered
ORD5083,2025-12-30,Clothing,T-Shirt,4,1512,6048,Mumbai,Debit Card,Cancelled
ORD5084,2025-09-16,Electronics,Smart Watch,10,13144,131440,Hyderabad,Credit Card,Processing
ORD5085,2025-05-31,Electronics,Smartphone,5,26655,133275,Bangalore,Debit Card,Shipped
ORD5086,2025-09-27,Automotive,Air Freshener,1,38045,38045,Bangalore,Debit Card,Processing
ORD5087,2025-08-25,Toys,Building Blocks,2,31612,63224,Delhi,Credit Card,Processing
ORD5088,2025-03-19,Books,Fiction Novel,7,27728,194096,Delhi,UPI,Pending
ORD5089,2025-04-22,Electronics,Speaker,4,29810,119240,Kolkata,Debit Card,Shipped
ORD5090,2025-07-25,Toys,Building Blocks,7,34988,244916,Ahmedabad,Debit Card,Cancelled
ORD5091,2025-11-17,Clothing,Jeans,9,47067,423603,Surat,Debit Card,Cancelled
ORD5092,2025-02-12,Clothing,Jacket,10,40532,405320,Mumbai,Net Banking,Processing
ORD5093,2025-04-04,Books,Cookbook,5,40776,203880,Hyderabad,Credit Card,Pending
ORD5094,2025-09-22,Electronics,Laptop,5,23334,116670,Bangalore,Credit Card,Shipped
ORD5095,2025-04-22,Home & Kitchen,Blender,9,28820,259380,Mumbai,Debit Card,Shipped
ORD5096,2025-05-04,Clothing,Jeans,4,27083,108332,Kolkata,Debit Card,Cancelled
ORD5097,2025-03-03,Sports,Cricket Bat,5,3004,15020,Bangalore,UPI,Pending
ORD5098,2025-11-12,Toys,Doll,9,39650,356850,Jaipur,Credit Card,Pending
ORD5099,2025-03-04,Automotive,Seat Covers,4,13451,53804,Jaipur,Debit Card,Pending
ORD5100,2025-07-13,Sports,Yoga Mat,1,26360,26360,Hyderabad,UPI,Shipped
